iter	Logloss
0	0.6686140696
1	0.646917661
2	0.6267041763
3	0.6101009051
4	0.5967290401
5	0.5828901927
6	0.5686169863
7	0.5592975616
8	0.5443052451
9	0.5341113408
10	0.5232118368
11	0.5139139493
12	0.5082680384
13	0.5013694763
14	0.4939877192
15	0.4878205458
16	0.480186224
17	0.4746598005
18	0.4698049227
19	0.4649801652
20	0.4592190981
21	0.4541988373
22	0.4486420552
23	0.4449503819
24	0.4417607784
25	0.4371958574
26	0.4330821037
27	0.4287189643
28	0.424993515
29	0.4210648934
30	0.4170857271
31	0.4150938193
32	0.4124985139
33	0.409464558
34	0.4070351521
35	0.4034530322
36	0.4002358913
37	0.3979251385
38	0.395926555
39	0.3948479493
40	0.3928831418
41	0.3904697895
42	0.3877485593
43	0.3856825034
44	0.3844697475
45	0.3828971386
46	0.3801608086
47	0.3787112236
48	0.3758333524
49	0.3737425407
50	0.3725758394
51	0.370455424
52	0.3691097498
53	0.3675270081
54	0.3650559584
55	0.3632911046
56	0.3612504403
57	0.3605145216
58	0.3581006527
59	0.3562119802
60	0.3542991877
61	0.3524841468
62	0.3504866759
63	0.3488806883
64	0.3476276
65	0.3468568325
66	0.3457229932
67	0.3440318108
68	0.3430055777
69	0.3408934275
70	0.3398081462
71	0.3387853305
72	0.3379362424
73	0.3366874059
74	0.3353592555
75	0.334589084
76	0.3334223032
77	0.3323305051
78	0.3315613866
79	0.3308411042
80	0.3295425177
81	0.328280886
82	0.3275243044
83	0.3270254135
84	0.3259290258
85	0.3246908983
86	0.3230899175
87	0.3219341437
88	0.3208901882
89	0.3200272322
90	0.3182531993
91	0.3167366385
92	0.3155703147
93	0.314712127
94	0.3133738637
95	0.3108102083
96	0.309881568
97	0.3079644839
98	0.306645453
99	0.3063179056
100	0.3053341707
101	0.3045611382
102	0.3039823373
103	0.3036660353
104	0.3034187555
105	0.3017279704
106	0.3007284005
107	0.2992081245
108	0.2975856463
109	0.2962997158
110	0.2951406638
111	0.2929282983
112	0.2922568917
113	0.2917752465
114	0.2909250855
115	0.2896130681
116	0.2885738611
117	0.2879547874
118	0.2871743441
119	0.286689957
120	0.2855575681
121	0.28451401
122	0.2835232417
123	0.2823934952
124	0.2816046675
125	0.2804254095
126	0.2798847357
127	0.278755784
128	0.2772418658
129	0.2765687307
130	0.2753822406
131	0.2745992343
132	0.2735186815
133	0.2727449735
134	0.2725541989
135	0.2713011503
136	0.2702885866
137	0.2694524527
138	0.2692958117
139	0.2681998412
140	0.2668656707
141	0.2666078806
142	0.2654173175
143	0.2647140622
144	0.2635143598
145	0.2627625863
146	0.261416316
147	0.2605012059
148	0.2592014273
149	0.2578224738
150	0.2573113044
151	0.2566443086
152	0.2554868261
153	0.2548371355
154	0.2541387479
155	0.2535380125
156	0.2527651787
157	0.2514849504
158	0.2507242362
159	0.2497946024
160	0.2487776875
161	0.2481443087
162	0.247721076
163	0.2467663288
164	0.2461066246
165	0.2457358837
166	0.2451326847
167	0.2439678907
168	0.2432501316
169	0.2429325581
170	0.2422295213
171	0.2413320939
172	0.240739584
173	0.2400844892
174	0.2394392888
175	0.2387299935
176	0.2379027208
177	0.236819307
178	0.2360896071
179	0.2350655993
180	0.2339901725
181	0.2333212296
182	0.2322957118
183	0.2314879497
184	0.2306796908
185	0.230342865
186	0.2294571002
187	0.2285193205
188	0.2268655499
189	0.2254043619
190	0.223366797
191	0.2226615349
192	0.221865495
193	0.2214745879
194	0.2207968036
195	0.2203615904
196	0.2192409436
197	0.2186432083
198	0.2175477743
199	0.2170530955
200	0.216463089
201	0.216137747
202	0.215614597
203	0.2145580649
204	0.214120249
205	0.21369946
206	0.2126203179
207	0.2117992838
208	0.2103619973
209	0.2096817096
210	0.2085223397
211	0.2067041596
212	0.205500404
213	0.2039320072
214	0.2031421463
215	0.2023557425
216	0.201843818
217	0.2012276848
218	0.2009474238
219	0.1998939514
220	0.1986429294
221	0.1984146833
222	0.1980187297
223	0.1970234712
224	0.1961986621
225	0.1952610811
226	0.1948629022
227	0.1942330996
228	0.1941969196
229	0.1936981678
230	0.192693313
231	0.1919759115
232	0.1909378171
233	0.1896480322
234	0.18886139
235	0.1882001758
236	0.1869585315
237	0.1858964364
238	0.1851633588
239	0.1849277417
240	0.1842798789
241	0.1838108699
242	0.1829256614
243	0.1821602384
244	0.1816758315
245	0.1809907556
246	0.1804026763
247	0.1800599098
248	0.1792121331
249	0.178685228
250	0.1782643
251	0.1774765452
252	0.1767389178
253	0.1761413018
254	0.1752731601
255	0.1746187011
256	0.1741915147
257	0.1735338569
258	0.1730711857
259	0.1723926862
260	0.1715928713
261	0.1709307432
262	0.1705196699
263	0.1693710287
264	0.1689795256
265	0.1688782374
266	0.1685462594
267	0.167900006
268	0.1678588589
269	0.1672944029
270	0.1672339837
271	0.1666554113
272	0.1662525733
273	0.1651863853
274	0.1646445692
275	0.1645328403
276	0.1641167502
277	0.1638284723
278	0.1627683143
279	0.1627306143
280	0.1623304288
281	0.161526521
282	0.1611369153
283	0.1611091495
284	0.1600123247
285	0.1598995328
286	0.1594119271
287	0.1589512428
288	0.1580271324
289	0.1576041579
290	0.1567780375
291	0.1559630036
292	0.1558418473
293	0.1554152171
294	0.1551453273
295	0.1546272536
296	0.1540059845
297	0.1530483166
298	0.1520738105
299	0.1511457264
